battery,timestep,RUL,age,capacity,current,resistance,SOC,voltage,event
463,0,100.516944444444,500.0,2.0815,11.7,0.0154,100.0,3.5842,1
463,1,99.5169444444444,504.181743245648,2.07948021801235,-4.3,0.0154117088810878,36.9307270059566,3.24736174323829,1
463,2,98.5169444444444,507.97903677144,2.07764612523939,-4.3,0.01542234130296,55.4261997708653,3.54140771233806,1
463,3,97.5169444444444,513.403759715276,2.07502598405752,-4.3,0.0154375305272028,65.7167526937104,3.26544874385689,1
463,4,96.5169444444444,517.491085804254,2.07305180555655,-4.3,0.0154489750402519,45.3491976705758,3.53915895951485,1
463,5,95.5169444444444,521.54418529307,2.07109415850345,-4.3,0.0154603237188206,71.0665684297285,3.54619788022538,1
463,6,94.5169444444444,526.852215311755,2.06853038000442,11.7,0.0154751862028729,35.8807392097192,3.53683154957589,1
463,7,93.5169444444444,530.548394703369,2.06674512535827,-4.3,0.0154855355051694,62.3001946723397,3.5434787511247,1
463,8,92.5169444444444,535.929705148184,2.06414595241343,11.7,0.0155006031744149,44.4324527331142,3.25336414121325,1
463,9,91.5169444444444,540.158371389916,2.06210350661867,-4.3,0.0155124434398918,53.9256208127217,3.5414466233877,1
463,10,90.5169444444444,544.362353277817,2.06007298336681,11.7,0.0155242145891779,65.3989200511153,3.26432171799197,1
463,11,89.5169444444444,549.534677142251,2.05757475094029,-4.3,0.0155386970959983,46.8252341728511,3.53990758889804,1
463,12,88.5169444444444,553.773326818916,2.05552748314646,-4.3,0.015550565315093,74.0467401562843,3.54779171409388,1
463,13,87.5169444444444,559.004400068933,2.05300087476671,-4.3,0.015565212320193,40.5667975289859,3.53855506651108,1
463,14,86.5169444444444,563.086460988056,2.05102923934277,-4.3,0.0155766420907666,68.5005303239392,3.54578902980338,1
463,15,85.5169444444444,568.51055806615,2.04840940045405,11.7,0.0155918295625852,35.156408583059,3.53695320003579,1
463,16,84.5169444444444,572.398261293475,2.04653163979525,-4.3,0.0156027151316217,63.1492924822684,3.54423707756896,1
463,17,83.5169444444444,577.764862305322,2.04393957150653,11.7,0.0156177416144549,36.1017204044074,3.2440720326426,1
463,18,82.5169444444444,581.844966028965,2.04196888140801,-4.3,0.0156291659048811,59.3119547645237,3.54330689202795,1
463,19,81.5169444444444,587.212403849829,2.03937640894053,-4.3,0.0156441947307795,46.2860724584132,3.25310672966678,1
463,20,80.5169444444444,591.320090872463,2.0373923961086,-4.3,0.0156556962544429,55.6774547547154,3.54250922067493,1
463,21,79.5169444444444,596.659484591836,2.03481346894214,-4.3,0.0156706465568571,54.310062612578,3.25773527409335,1
463,22,78.5169444444444,600.699810280324,2.0328619916346,11.7,0.0156819594687849,53.3525747649743,3.54206782308198,1
463,23,77.5169444444444,606.002591358663,2.03030074837377,-4.3,0.0156968072558043,59.7179136862202,3.26002251945716,1
463,24,76.5169444444444,610.087851174901,2.02832756788252,-4.3,0.0157082459832897,52.1237614820571,3.54189635599524,1
463,25,75.5169444444444,615.459683543815,2.02573297284834,-4.3,0.0157232871139227,61.8250113136112,3.26060682325579,1
463,26,74.5169444444444,619.470371489942,2.02379581057036,-4.3,0.0157345170401718,51.5549227257681,3.54188144743507,1
463,27,73.5169444444444,624.839119187567,2.02120270543241,11.7,0.0157495495337252,61.27722216696,3.26007676403045,1
463,28,72.5169444444444,628.831403395112,2.01927443216016,-4.3,0.0157607279295063,52.3175950918829,3.5421767773456,1
463,29,71.5169444444444,634.237458216291,2.01666330768153,-4.3,0.0157758648830056,58.9460748794151,3.25876718308656,1
463,30,70.5169444444444,638.163658789442,2.0147669528047,11.7,0.0157868582446104,53.9752118354102,3.54268441185053,1
463,31,69.5169444444444,643.40596349995,2.01223491962952,-4.3,0.0158015366977999,52.5913676353786,3.25529486724347,1
463,32,68.5169444444444,647.332335436745,2.01033848198405,-4.3,0.0158125305392229,56.3118761177497,3.54336315597529,1
463,33,67.5169444444444,652.589021562612,2.00779950258526,11.7,0.0158272492603753,44.6434324124037,3.24978547861241,1
463,34,66.5169444444444,656.729277524141,2.00579975895584,-4.3,0.0158388419770676,59.9993581627853,3.54441660351813,1
463,35,65.5169444444444,661.974805055678,2.00326616915811,-4.3,0.0158535294541559,33.9682659740258,3.23875703824316,1
463,36,64.5169444444444,666.105017976838,2.00127127631719,11.7,0.0158650940503351,64.1523555874917,3.54568566477968,1
463,37,63.5169444444444,671.392296314645,1.99871752088003,-4.3,0.015879898429681,36.0386104396794,3.53876455773747,1
463,38,62.5169444444444,675.403409508953,1.99678015320718,-4.3,0.0158911295466251,69.4488149459796,3.5474973234856,1
463,39,61.5169444444444,680.807932276978,1.99416976871022,11.7,0.0159062622103755,41.5019714967293,3.54034131859117,1
463,40,60.5169444444444,684.810183488477,1.99223668137507,-4.3,0.0159174685137677,75.488103183197,3.55003515425196,1
463,41,59.5169444444444,690.130842922578,1.98966680286839,-4.3,0.0159323663601832,48.146342987013,3.54198836799043,1
463,42,58.5169444444444,695.448118439129,1.9870985587939,11.7,0.0159472547316296,62.5327956623267,3.25830126837363,1
463,43,57.5169444444444,699.497514862009,1.98514270032165,-4.3,0.0159585930416136,55.2726249001369,3.5437612526354,1
463,44,56.5169444444444,704.853218107204,1.98255589565422,-4.3,0.0159735890107002,40.9456050621693,3.24501567797991,1
463,45,55.5169444444444,708.897579754112,1.98060246897876,11.7,0.0159849132233115,63.5643693836484,3.54604326378711,1
463,46,54.5169444444444,714.266856972952,1.97800910808206,-4.3,0.0159999471995243,37.1802409791923,3.53970440342432,1
